Project_ID,Department,Project_Name,Manager,Status,Planned_Cost,Actual_Cost,Cost_Variance,Cost_Variance_Pct,Start_Date,End_Date,Duration_Days,Planned_Completion,Actual_Completion,Completion_Variance,Tasks_Total,Tasks_Completed,Task_Completion_Pct,Planned_Hours,Actual_Hours,Hours_Variance,Hours_Variance_Pct,Delivery_Status,Budget_Status
1001,Marketing,Content Marketing Strategy,Emma Watson,In Progress,10425.0,11629.95,1204.9500000000007,11.56,2024-08-15,2024-10-03,49.0,100,71,-29,40,28,70.0,684,759,75,0.0,In-Progress,Over Budget
1002,Marketing,Q1 Product Launch,Akash Verma,In Progress,16338.0,15940.05,-397.9500000000007,-2.44,2024-07-03,2024-09-03,62.0,100,52,-48,52,27,51.92,1147,1421,274,0.0,In-Progress,Within Budget
1003,Marketing,SEO Optimization Project,John Smith,Not Started,29213.0,33311.34,4098.3399999999965,14.03,2024-10-03,2024-12-26,84.0,100,0,-100,69,0,0.0,770,992,222,0.0,In-Progress,Over Budget
1004,Marketing,Website Redesign,John Smith,Not Started,28965.0,34608.18,5643.18,19.48,2024-07-22,2024-09-03,43.0,100,0,-100,44,0,0.0,789,898,109,0.0,In-Progress,Over Budget
1005,Marketing,Partnership Marketing,Akash Verma,Not Started,23730.0,25736.64,2006.6399999999994,8.46,2024-08-12,2024-10-10,59.0,100,0,-100,74,0,0.0,1063,1100,37,0.0,In-Progress,Within Budget
1006,Marketing,Brand Awareness Drive,Sarah Lee,On Hold,20708.0,20952.17,244.16999999999825,1.18,2024-11-24,2025-01-08,45.0,100,60,-40,47,28,59.57,1104,1411,307,0.0,In-Progress,Within Budget
1007,Marketing,Video Marketing Campaign,Akash Verma,Completed,30673.0,30378.77,-294.22999999999956,-0.96,2024-07-08,2024-07-26,18.0,100,100,0,34,34,100.0,980,1182,202,0.0,On-Time,Within Budget
1008,Marketing,Social Media Campaign,Akash Verma,In Progress,35928.0,41663.51,5735.510000000002,15.96,2024-08-21,2024-11-06,77.0,100,66,-34,71,46,64.79,542,630,88,0.0,In-Progress,Over Budget
1009,Marketing,Trade Show Participation,Akash Verma,On Hold,48242.0,47749.46,-492.5400000000009,-1.02,2024-12-19,2025-02-25,68.0,100,28,-72,44,12,27.27,921,1148,227,0.0,In-Progress,Within Budget
1010,Marketing,Event Marketing Strategy,John Smith,Completed,37666.0,39878.62,2212.6200000000026,5.87,2024-07-05,2024-08-08,34.0,100,100,0,54,54,100.0,879,953,74,0.0,On-Time,Within Budget
1011,Marketing,Rebranding Initiative,John Smith,In Progress,45190.0,50287.76,5097.760000000002,11.28,2024-12-24,2025-01-21,28.0,100,57,-43,79,45,56.96,700,873,173,0.0,In-Progress,Over Budget
1012,Marketing,Influencer Partnership Program,Emma Watson,Not Started,42806.0,47800.89,4994.889999999999,11.67,2024-07-24,2024-09-09,47.0,100,0,-100,62,0,0.0,1040,1195,155,0.0,In-Progress,Over Budget
